indicator,data.1992,data.1982,data.2020,data.2021,data.2002,data.1993,data.2008,data.1981,data.1988,data.2001,data.2019,data.2000,data.2016,data.1994,data.2004,data.1983,data.2017,data.1990,data.1991,data.1998,data.2015,data.1984,data.2003,data.1999,data.2007,data.1996,data.2014,data.1985,data.2013,data.2005,data.1987,data.1989,data.2018,data.1995,data.1986,data.2006,data.1997,data.2011,data.2010,data.2009,data.2012,note,REF_AREA
RES.BSC.TOT.SHRE,,,,,,,,,,,,,47.8061705510701,,,,49.6359139932678,,,,48.0262521670695,,,,,,49.4793328536698,,47.6660887757338,,,,,,,,,,,,,,THA
RES.FEMALE.TOT.FTE,,,,,,,,,,,,,,,,,1363.73439296439,,,,,,,,,,,,,,,,,,,,,,,,,,THA
RES.MALE.TOT.FTE,,,,,,,,,,,,,,,,,1547.66560703561,,,,,,,,,,,,,,,,,,,,,,,,,,THA
RES.FEMALE.TOT.SHRE,,,,,,,,,,,,,,,,,46.8411895639346,,,,,,,,,,,,,,,,,,,,,,,,,,THA
RES.MALE.TOT.SHRE,,,,,,,,,,,,,,,,,53.1588104360654,,,,,,,,,,,,,,,,,,,,,,,,,,THA
RES.FEMALE.PHD.TOT.FTE,,,,,,,,,,,,,,,,,258.528678678679,,,,,,,,,,,,,,,,,,,,,,,,,,THA
RES.FEMALE.MSC.TOT.FTE,,,,,,,,,,,,,,,,,456.87,,,,,,,,,,,,,,,,,,,,,,,,,,THA
RES.FEMALE.BSC.TOT.FTE,,,,,,,,,,,,,,,,,648.335714285714,,,,,,,,,,,,,,,,,,,,,,,,,,THA
RES.MALE.PHD.TOT.FTE,,,,,,,,,,,,,,,,,258.521321321321,,,,,,,,,,,,,,,,,,,,,,,,,,THA
RES.MALE.MSC.TOT.FTE,,,,,,,,,,,,,,,,,492.38,,,,,,,,,,,,,,,,,,,,,,,,,,THA
RES.MALE.BSC.TOT.FTE,,,,,,,,,,,,,,,,,796.764285714286,,,,,,,,,,,,,,,,,,,,,,,,,,THA
RES.UNDER31.TOT.SHRE,,,,,,,,,,,,,,,,,5.13513513513514,,,,,,,,,,,,,,,,,,,,,,,,,Excludes the higher education sector.,THA
RES.31_40.TOT.SHRE,,,,,,,,,,,,,,,,,28.4425103069171,,,,,,,,,,,,,,,,,,,,,,,,,Excludes the higher education sector.,THA
RES.41_50.TOT.SHRE,,,,,,,,,,,,,,,,,41.213925790197,,,,,,,,,,,,,,,,,,,,,,,,,Excludes the higher education sector.,THA
RES.51_60.TOT.SHRE,,,,,,,,,,,,,,,,,25.2084287677508,,,,,,,,,,,,,,,,,,,,,,,,,Excludes the higher education sector.,THA
RES.OVER60.TOT.SHRE,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Excludes the higher education sector.,THA
RES.MALE.BSC.TOT.SHRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0520815146542,71.2492482643215,,PAK
RES.MALE.MSC.TOT.SHRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.2962953823556,80.8186338346235,,PAK
RES.MALE.PHD.TOT.SHRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.1344514485155,84.7090939535913,,PAK
RES.FEMALE.BSC.TOT.SHRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13754421498037,6.03752843557782,,PAK
RES.FEMALE.MSC.TOT.SHRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1104877677236,12.0354148902702,,PAK
RES.FEMALE.PHD.TOT.SHRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.73799399839117,9.29045630505592,,PAK
RES.TOT.FTE,,,,,3458.3901210153,,3419.51566514652,,,3455.8059051526,,3453.26931317305,,,3356.04194692724,,,,,,,,3540.14422206837,,3373.18986134267,,,,,3338.35138258494,,,,,,3392.58997887241,,3515.53704150853,3438.31525779075,3555.30245920911,3678.33859854667,,PAK
RES.TOT.ARI.FARMERS,,,,,17.801977253386,,14.562284580302,,,18.1635966842878,,18.4755728060192,,,16.1916434936423,,,,,,,,17.6389846640178,,14.7307299940725,,,,,15.4267623964184,,,,,,15.0247563280443,,14.0396846705612,14.002505631402,14.7921883054259,14.4322148489295,,PAK
RES.GOV.SHRE,,,,,91.250094746194,,85.9982697391859,,,91.5903116110603,,91.3507655522476,,,88.8000357894678,,,,,,,,89.9047621536502,,86.7701447737198,,,,,88.3224165498946,,,,,,87.6270292596088,,85.6083974238987,86.0311332948772,86.0073052643488,85.4726840756454,,PAK
RES.HE.SHRE,,,,,8.74502213590662,,14.0023874524886,,,8.48515681923466,,8.66068133465294,,,11.1978579853577,,,,,,,,10.0952378463498,,13.2293093705226,,,,,11.6771285119664,,,,,,12.3726273239134,,14.3907019420918,13.9675063117635,13.9939925080124,14.5262366206106,,PAK
RES.PHD.TOT.FTE,,,,,524.466357615721,,629.834404753465,,,516.875112864911,,503.221667656404,,,563.257594473436,,,,,,,,553.446177840738,,613.684758335282,,,,,574.135976353861,,,,,,587.311694469764,,709.639700985081,647.810556244521,661.176011890738,761.64181474587,,PAK
RES.MSC.TOT.FTE,,,,,2520.82587186175,,2410.27178686149,,,2515.67718390869,,2524.60368686661,,,2443.29278588118,,,,,,,,2562.67924223619,,2389.92478203855,,,,,2410.1480748919,,,,,,2434.22719572724,,2398.33099256881,2399.76737788483,2515.23305713473,2492.31125586287,,PAK
RES.BSC.TOT.FTE,,,,,412.929014270797,,389.831946303822,,,425.861650849659,,425.037225197524,,,360.620880772268,,,,,,,,424.018801991447,,380.161908217759,,,,,365.052143905529,,,,,,381.839437962389,,407.534685832431,390.690549048955,378.939529916315,424.34582749171,,PAK
RES.PHD.TOT.SHRE,,,,,15.1657838133938,,18.3628502739013,,,14.9454380156003,,14.5740427265175,,,16.7279164257577,,,,,,,,15.6334359032802,,18.1361172779773,,,,,17.1417840103665,,,,,,17.2567266357188,,20.1859938871423,18.841185888011,18.5966577816738,20.7063600823521,,PAK
RES.MSC.TOT.SHRE,,,,,72.8937131023317,,70.2715818753512,,,72.7407771888484,,73.1162514747674,,,72.5621774600051,,,,,,,,72.3891198065064,,70.6290249902456,,,,,71.9589773753074,,,,,,71.5238495698982,,68.2215139431096,69.7958111655814,70.745047556894,67.7571704993837,,PAK
RES.BSC.TOT.SHRE,,,,,11.9405030842745,,11.3655678507474,,,12.3137847955513,,12.3097057987151,,,10.7099061142372,,,,,,,,11.9774442902134,,11.2348577317771,,,,,10.8992386143261,,,,,,11.219423794383,,11.5924921697481,11.3630029464076,10.6582946614322,11.5364694182642,,PAK
RES.FEMALE.TOT.FTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.8,396.34,,PAK
RES.MALE.TOT.FTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3139.1200488756,3276.95889810045,,PAK
RES.FEMALE.TOT.SHRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.23755001502075,10.78975631972,,PAK
RES.MALE.TOT.SHRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.7624499849792,89.21024368028,,PAK
RES.FEMALE.PHD.TOT.FTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.55,70.76,,PAK
RES.FEMALE.MSC.TOT.FTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.15,299.96,,PAK
RES.FEMALE.BSC.TOT.FTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,25.62,,PAK
RES.MALE.PHD.TOT.FTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.60625,645.179880442917,,PAK
RES.MALE.MSC.TOT.FTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1692.65866768404,2014.25190789492,,PAK
RES.MALE.BSC.TOT.FTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.823214285714,302.343212128858,,PAK
RES.UNDER31.TOT.SHRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.988754606698,,PAK
RES.31_40.TOT.SHRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1659470458275,,PAK
RES.41_50.TOT.SHRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2425037446962,,PAK
RES.51_60.TOT.SHRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4140987491175,,PAK
RES.OVER60.TOT.SHRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188695853660854,,PAK
RES.MALE.BSC.TOT.SHRE,,,,,,,,,,,,,,,,,,,,,,,,,,,81.1801027586966,,,,,,76.853724663617,,,,,,,,,,IND
RES.MALE.MSC.TOT.SHRE,,,,,,,,,,,,,,,,,,,,,,,,,,,71.1310271312497,,,,,,69.7637673731396,,,,,,,,,,IND
RES.MALE.PHD.TOT.SHRE,,,,,,,,,,,,,,,,,,,,,,,,,,,81.1086197741025,,,,,,76.2940301789937,,,,,,,,,,IND
RES.FEMALE.BSC.TOT.SHRE,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8198972413034,,,,,,23.146275336383,,,,,,,,,,IND
RES.FEMALE.MSC.TOT.SHRE,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8689728687503,,,,,,30.2362326268604,,,,,,,,,,IND
RES.FEMALE.PHD.TOT.SHRE,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8913802258975,,,,,,23.7059698210063,,,,,,,,,,IND
RES.TOT.FTE,,,,,10820.1898369541,,10363.7293277173,,,11015.6440854896,,11154.3340286358,11170.0277729708,,10662.0706682129,,11256.356523706,,,12837.02924,11033.1267217753,,10695.7108574711,12865.54747,10301.1293032693,12516.57478,10702.2004432682,,10906.9354512656,10763.0116991353,,,11362.6975193866,,,10524.8853003119,12733.513,10700.0203560071,10436.1852931704,10374.7393966107,10882.7734254266,,IND
RES.TOT.ARI.FARMERS,,,,,4.44964010237862,,3.98211357531874,,,4.58536186879081,,4.70115398142008,3.98140392185874,,4.28464044470146,,3.98463561127174,,,5.53069914047522,3.96255022600438,,4.34698407937895,5.48169896463571,4.00034535244588,5.51614521303788,3.87578330614863,,3.98557898533421,4.26780166585457,,,,,,4.11762059588269,5.5483475017538,3.98662447410454,3.92782257109376,3.94497783023077,4.01482058747039,,IND
